id_posicion_grupo,anio,id_grupo,id_seleccion,seleccion,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
271,1998,B,51,Italia,7,3,2,1,0,7,3,4,SI
272,1998,B,17,Chile,3,3,0,3,0,4,4,0,SI
273,1998,B,8,Austria,2,3,0,2,1,3,4,-1,NO
274,1998,B,14,Camerún,2,3,0,2,1,2,5,-3,NO
275,1998,C,36,Francia,9,3,3,0,0,9,1,8,SI
276,1998,C,26,Dinamarca,4,3,1,1,1,3,3,0,SI
277,1998,C,72,Sudáfrica,2,3,0,2,1,3,6,-3,NO
278,1998,C,4,Arabia Saudita,1,3,0,1,2,2,7,-5,NO
279,1998,D,57,Nigeria,6,3,2,0,1,5,5,0,SI
280,1998,D,62,Paraguay,5,3,1,2,0,3,1,2,SI
281,1998,D,34,España,4,3,1,1,1,8,4,4,NO
282,1998,D,12,Bulgaria,1,3,0,1,2,1,7,-6,NO
283,1998,E,60,Paises Bajos,5,3,1,2,0,7,2,5,SI
284,1998,E,56,México,5,3,1,2,0,7,5,2,SI
285,1998,E,13,Bélgica,3,3,0,3,0,3,3,0,NO
286,1998,E,21,Corea del Sur,1,3,0,1,2,2,9,-7,NO
287,1998,F,1,Alemania,7,3,2,1,0,6,2,4,SI
288,1998,F,,RF de Yugoslavia,7,3,2,1,0,4,2,2,SI
289,1998,F,48,Irán,3,3,1,0,2,2,4,-2,NO
290,1998,F,35,Estados Unidos,0,3,0,0,3,1,5,-4,NO
291,1998,G,68,Rumania,7,3,2,1,0,4,2,2,SI
292,1998,G,44,Inglaterra,6,3,2,0,1,5,2,3,SI
293,1998,G,19,Colombia,3,3,1,0,2,1,3,-2,NO
294,1998,G,78,Túnez,1,3,0,1,2,1,4,-3,NO
295,1998,H,6,Argentina,9,3,3,0,0,7,0,7,SI
296,1998,H,24,Croacia,6,3,2,0,1,4,2,2,SI
297,1998,H,52,Jamaica,3,3,1,0,2,3,9,-6,NO
298,1998,H,53,Japón,0,3,0,0,3,1,4,-3,NO
299,2002,A,26,Dinamarca,7,3,2,1,0,5,2,3,SI
300,2002,A,70,Senegal,5,3,1,2,0,5,4,1,SI
301,2002,A,80,Uruguay,2,3,0,2,1,4,5,-1,NO
302,2002,A,36,Francia,1,3,0,1,2,0,3,-3,NO
303,2002,B,34,España,9,3,3,0,0,9,4,5,SI
304,2002,B,62,Paraguay,4,3,1,1,1,6,6,0,SI
