id_goleador,anio,id_seleccion,seleccion,id_jugador,jugador,goles,partidos,promedio
174,1954,74,Suiza,8046,Robert Ballaman,4,4,1.0
175,1954,80,Uruguay,5821,Carlos Borges,4,5,0.8
176,1954,42,Hungría,7538,Nandor Hidegkuti,4,4,1.0
177,1954,42,Hungría,7587,Ferenc Puskas,4,3,1.33
178,1954,,Alemania Occidental,6251,Helmut Rahn,4,4,1.0
179,1954,,Alemania Occidental,6269,Hans Schaefer,4,5,0.8
180,1954,,Alemania Occidental,6312,Ottmar Walter,4,5,0.8
181,1954,13,Bélgica,6545,Leopold Anoul,3,2,1.5
182,1954,77,Turquía,5455,Sargun Burhan,3,2,1.5
183,1954,42,Hungría,7513,Zoltan Czibor,3,5,0.6
184,1954,80,Uruguay,5899,Juan Hohberg,3,2,1.5
185,1954,44,Inglaterra,1327,Nat Lofthouse,3,2,1.5
186,1954,80,Uruguay,5927,Oscar Miguez,3,3,1.0
187,1954,8,Austria,4650,Ernst Stojaspal,3,4,0.75
188,1954,77,Turquía,5486,Mamat Suat,3,2,1.5
189,1954,8,Austria,4662,Theodor Wagner,3,4,0.75
190,1954,,Alemania Occidental,6311,Fritz Walter,3,6,0.5
191,1954,80,Uruguay,5799,Julio Abbadie,2,4,0.5
192,1954,44,Inglaterra,1223,Ivor Broadis,2,3,0.67
193,1954,11,Brasil,1596,Didi,2,3,0.67
194,1954,11,Brasil,1674,Julinho,2,3,0.67
195,1954,8,Austria,4594,Robert Koerner,2,5,0.4
196,1954,77,Turquía,5472,Lefter Kucukandonyadis,2,3,0.67
197,1954,42,Hungría,7561,Mihaly Lantos,2,5,0.4
198,1954,8,Austria,4615,Ernst Ocwirk,2,5,0.4
199,1954,42,Hungría,7582,Peter Palotas,2,2,1.0
200,1954,11,Brasil,1763,Pinga,2,2,1.0
201,1954,80,Uruguay,5996,Juan Schiaffino,2,5,0.4
202,1954,80,Uruguay,5807,Javier Ambrois,1,4,0.25
203,1954,56,México,7653,Tomas Balcazar,1,2,0.5
204,1954,11,Brasil,1546,Baltazar,1,2,0.5
205,1954,51,Italia,5554,Giampiero Boniperti,1,1,1.0
206,1954,13,Bélgica,6580,Rik Coppens,1,2,0.5
